article_ID,pub_order,citation,DOI,title,author 1,author 2,author 3,author 4,author 5,author 6,author 7,author 8,author 9,author 10,author 11,author 12,author 13,author 14,journal_name,vol,num,pages,year,country_1,country_2,country_3,country_4,country_5,country_6,n_isolates,Fasi,Fboo,Fcor,Fgra,Fmer,Fnep,Fvor,Fasi_DON,Fasi_3ADON,Fasi_15ADON,Fasi_NIV,Fboo_DON,Fboo_15ADON,Fcor_15ADON,Fcor_NIV,Fgra_DON,Fgra_3ADON,Fgra_15ADON,Fgra_FUSX,Fgra_NIV,Fgra_ZEA,Fmer_DON,Fmer_NIV,Fnep_DON,Fvor_DON,Fvor_NIV,Fvor_4ANIV,country_1a,country_2a,host_1,host_2,host_3,host_4,obs
11,Yes,von der Ohe et al. 2010,10.1007/s10658-010-9607-z,A comparison of aggressiveness and deoxynivalenol production between Canadian Fusarium graminearum isolates with 3-acetyl and 15-acetyldeoxynivalenol chemotypes in field-grown spring wheat,von der Ohe C,Gauthier V,Tamburic-Ilincic L,Brule-Babel A,Fernando WGD,Clear R,Ward TJ,Miedaner T,,,,,,,European Journal of Plant Pathology,127,3,407â€“417,2010,Germany,Canada,United States,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Yes,Astolfi et al. 2011,10.1016/j.ijfoodmicro.2011.05.019,Molecular survey of trichothecene genotypes of Fusarium graminearum species complex from barley in southern Brazil,Astolfi P,Santos J dos,Schneider L,Gomes LB,Silva CN,Tessmann DJ,Del Ponte EM,,,,,,,,International Journal of Food Microbiology,148,3,197â€“201,2011,Brazil,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Yes,Boutigny et al. 2011a,10.1016/j.fgb.2011.05.005,"Analysis of the Fusarium graminearum species complex from wheat, barley and maize in South Africa provides evidence of species-specific differences in host preference",Boutigny A-L,Ward TJ,Van Coller GJ,Flett B,Lamprecht SC,O'Donnell K,Viljoen A,,,,,,,,Fungal Genetics and Biology,48,9,914â€“920,2011,South Africa,United States,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Yes,Gale et al. 2011,10.1094/ PHYTO-03-10-0067,Nivalenol-type populations of Fusarium graminearum and F. asiaticum are prevalent on wheat in Southern Louisiana,Gale LR,Harrison SA,Ward TJ,O'Donnell K,Milus EA,Gale SW,Kistler HC,,,,,,,,Phytopathology,101,1,124â€“134,2011,United States,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Yes,Reynoso et al. 2011,10.1016/j.ijfoodmicro.2011.01.020,Trichothecene genotypes and chemotypes in Fusarium graminearum strains isolated from wheat in Argentina,Reynoso MM,Ramirez ML,Torres AM,Chulze SN,,,,,,,,,,,International Journal of Food Microbiology,145,2,444â€“448,2011,Argentina,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Yes,Sampietro et al. 2011,10.1016/j.ijfoodmicro.2010.12.021,Species diversity and toxigenic potential of Fusarium graminearum complex isolates from maize fields in northwest Argentina,Sampietro DA,DÃ_az CG,Gonzalez V,Vattuone MA,Ploper LD,Catalan CAN,Ward TJ,,,,,,,,International Journal of Food Microbiology,145,1,359â€“364,2011,Argentina,United States,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Yes,Sarver et al. 2011,10.1016/j.fgb.2011.09.002,Novel Fusarium head blight pathogens from Nepal and Louisiana revealed by multilocus genealogical concordance,Sarver BAJ,Ward TJ,Gale LR,Broz K,Kistler HC,Aoki T,Nicholson P,Carter J,O'Donnell K,,,,,,Fungal Genetics and Biology,48,12,1096-â€“107,2011,United States,Japan,United Kingdom,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Yes,Astolfi et al. 2012,10.1111/j.1365-3059.2011.02515.x,Genetic population structure and trichothecene genotypes of Fusarium graminearum isolated from wheat in southern Brazil,Astolfi P,Reynoso MM,Ramirez ML,Chulze SN,Alves TCA,Tessmann DJ,Del Ponte EM,,,,,,,,Plant Pathology,61,2,289â€“295,2012,Brazil,Argentina,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Yes,Barros et al. 2012,10.1080/19440049.2011.578588,Natural deoxynivalenol occurrence and genotype and chemotype determination of a field population of the Fusarium graminearum complex associated with soybean in Argentina,Barros G,Zanon MSA,Abod A,Oviedo MS,Ramirez ML,Reynoso MM,Torres A,Chulze SN,,,,,,,Food Additives and Contaminants,29,2,293â€“303,2012,Argentina,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Yes,Zhang et al. 2012,10.1371/journal.pone.0031722,Population analysis of the Fusarium graminearum species complex from wheat in China show a shift to more aggressive isolates,Zhang H,Van der Lee T,Waalwijk C,Chen W,Xu J,Xu J,Zhang Y,Feng J,,,,,,,Plos One,7,2,e31722,2012,China,Netherlands,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Yes,Pan et al. 2013,10.1016/j.ijfoodmicro.2013.01.002,Trichothecene genotypes of Fusarium graminearum from wheat in Uruguay,Pan D,Calero N,Mionetto A,Bettucci L,,,,,,,,,,,International Journal of Food Microbiology,162,1,120â€“123,2013,Uruguay,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Yes,Stumpf et al. 2013,10.1590/S1517-83822013000100012,Fusarium species and fumonisins associated with maize kernels produced in Rio Grande do Sul State for the 2008/09 and 2009/10 growing seasons,Stumpf R,Santos J dos,Gomes LB,Silva CN,Tessmann DJ,Ferreira FD,Machinski Junior M,Del Ponte EM,,,,,,,Brazilian Journal of Microbiology,44,1,89â€“95,2013,Brazil,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Yes,UmpiÃ©rrez-Failache et al. 2013,10.1016/j.ijfoodmicro.2013.06.029,Regional differences in species composition and toxigenic potential among Fusarium head blight isolates from Uruguay indicate a risk of nivalenol contamination in new wheat production areas,UmpiÃ©rrez-Failache M,Garmendia G,Pereyra S,RodrÃ_guez-Haralambides A,Ward TJ,Vero S,,,,,,,,,International Journal of Food Microbiology,166,1,135â€“140,2013,Uruguay,United States,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Yes,Boutigny et al. 2014,1007/s10658-013-0312-6,Diversity of the Fusarium graminearum species complex on French cereals,Boutigny A-L,Ward TJ,Ballois N,Iancu G,Ioos R,,,,,,,,,,European Journal of Plant Patholog,138,1,133â€“148,2014,France,United States,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Yes,CastaÃ±ares et al. 2014,10.1016/j.ijfoodmicro.2014.03.024,Trichothecene genotypes and production profiles of Fusarium graminearum isolates obtained from barley cultivated in Argentina,CastaÃ±ares E,Albuquerque DR,Dinolfo MI,Pinto VF,Patriarca A,Stenglein SA,,,,,,,,,International Journal of Food Microbiology,179,1,57â€“63,2014,Argentina,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Yes,Liang et al. 2014,10.1016/j.fgb.2014.10.002,Temporal dynamics and population genetic structure of Fusarium graminearum in the upper Midwestern United States,Liang JM,Xayamongkhon H,Broz K,Dong Y,McCormick SP,Abramova S,Ward TJ,Ma ZH,Kistler HC,,,,,,Fungal Genetics and Biology,73,1,83â€“92,2014,China,United States,Russia,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Yes,Somma et al. 2014,10.1071/CP13314,"Phylogenetic analyses of Fusarium graminearum strains from cereals in Italy, and characterisation of their molecular and chemical chemotypes",Somma S,Petruzzella AL,Logrieco AF,Meca G,Cacciola OS,Moretti A,,,,,,,,,Crop and Pasture Science,65,1,52â€“60,2014,Italy,Spain,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Yes,Bec et al. 2015,10.1094/PDIS-06-14-0610-RE,Characterization of Fusarium strains recovered from wheat with symptoms of head blight in Kentucky,Bec S,Ward TJ,Farman M,O'Donnell K,Hershman D,Van Sanford D,Vaillancourt LJ,,,,,,,,Plant Disease,19,11,1622â€“1632,2015,United States,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Yes,Del Ponte et al. 2015,10.1094/PHYTO-04-14-0102-R,Regional and field-specific factors affect the composition of Fusarium head blight pathogens in Subtropical no-till wheat agroecosystem of Brazil,Del Ponte EM,Spolti P,Ward TJ,Gomes LB,Nicolli CP,Kuhnem PR,Silva CN,Tessmann DJ,,,,,,,Phytopathology,105,2,246â€“254,2015,Brazil,United States,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Yes,Gomes et al. 2015,10.1111/ppa.12332,"Species composition, toxigenic potential and pathogenicity of Fusarium graminearum species complex isolates from southern Brazilian rice",Gomes LB,Ward TJ,Badiale-Furlong E,Del Ponte EM,,,,,,,,,,,Plant Pathology,64,4,980â€“987,2015,Brazil,United States,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Yes,Kelly et al. 2015,10.1016/j.fgb.2015.05.016,Diversity of Fusarium head blight populations and trichothecene toxin types reveals regional differences in pathogen composition and temporal dynamics,Kelly AC,Clear RM,O'Donnell K,McCormick S,Turkington TK,Tekauz A,Gilbert J,Kistler HC,Busman M,Ward TJ,,,,,Fungal Genetics and Biology,82,1,22â€“31,2015,United States,Canada,,,,,4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Yes,Machado et al. 2015,10.1094/PDIS-04-15-0376-PDN,"First report of Fusarium graminearum, F. asiaticum, and F. cortaderiae as head blight pathogens of annual ryegrass in Brazil",Machado FJ,MÃ¶ller PA,Nicolli CP,Del Ponte EM,Ward TJ,,,,,,,,,,Plant Disease,99,12,1859,2015,Brazil,United States,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yes,CastaÃ±ares et al. 2016,10.1111/ppa.12470,Species composition and genetic structure of Fusarium graminearum species complex populations affecting the main barley growing regions of South America,CastaÃ±ares E,Dinolfo MI,Del Ponte EM,Pan D,Stenglein SA,,,,,,,,,,Plant Pathology,95,6,930â€“939,2016,Argentina,Brazil,Uruguay,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Yes,Kelly et al. 2016,10.1016/j.fgb.2016.08.003,The geographic distribution and complex evolutionary history of the NX-2 trichothecene chemotype from Fusarium graminearum,Kelly A,Proctor RH,Belzile F,Chulze SN,Clear RM,Cowger C,Elmer W,Lee T,Obanor F,Waalwijk C,Ward TJ,,,,Fungal Genetics and Biology,95,1,39â€“48,2016,United States,Canada,Argentina,Korea,Autralia,Netherlands,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Yes,Kuhnem et al. 2016,10.1111/ppa.12497,"Composition and toxigenic potential of the Fusarium graminearum species complex from maize ears, stalks and stubble in Brazil",Kuhnem PR,Ward TJ,Silva CN,Spolti P,Ciliato ML,Tessmann DJ,Del Ponte EM,,,,,,,,Plant Pathology,65,7,1185â€“1191,2016,Brazil,United States,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Yes,Pan et al. 2016,10.4238/gmr.15017270,Population genetic analysis and trichothecene profiling of Fusarium graminearum from wheat in Uruguay,Pan D,Mionetto A,Calero N,Reynoso MM,Torres A,Bettucci L,,,,,,,,,Genetics and Molecular Research,15,1,01â€“11,2016,Uruguay,Argentina,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Yes,Zhang et al. 2016,10.3920/WMJ2015.2004,Crops are a main driver for species diversity and the toxigenic potential of Fusarium isolates in maize ears in China,Zhang H,Brankovics B,Luo W,Xu J,Xu JS,Guo C,Guo JG,Jin SL,Chen WQ,Feng J,Van Diepeningen AD,Van der Lee TAJ,Waalwijk C,,World Mycotoxin Journal,9,5,701â€“715,2016,China,Netherlands,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Yes,Machado et al. 2017,10.1007/s40858-017-0158-0,Differential triazole sensitivity among members of the Fusarium graminearum species complex infecting barley grains in Brazil,Machado FJ,Nicolli CP,MÃ¶ller PA,Arruda R,Ward TJ,Del Ponte EM,,,,,,,,,Tropical Plant Pathology,42,3,197â€“202,2017,Brazil,United States,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Yes,Yerkovich et al. 2017,10.1007/s40858-017-0155-3,"Trichothecene genotypes, chemotypes and zearalenone production by Fusarium graminearum species complex strains causing Fusarium head blight in Argentina during an epidemic and non-epidemic season",Yerkovich N,Palazzini JM,Sulyok M,Chulze SN,,,,,,,,,,,Tropical Plant Pathology,42,3,90â€“196,2017,Argentina,Austria,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,No,Aamot et al. 2015,10.1007/s10658-015-0629-4,Genetic and phenotypic diversity within the Fusarium graminearum species complex in Norway,Aamot HU,Ward TJ,Brodal G,VrÃ¥lstad T,Larsen GB,Klemsdal SS,Elameen A,Uhlig S,Hofgaard IS,,,,,,European Journal of Plant Pathology,142,3,501â€“519,2015,Norway,United States,,,,,105,,,,105,,,,,,,,,,,,,101,4,,,,,,,,,,Norway,,Wheat,Oat,Barley,,genotype
41,No,Abedi-Tizaki & Zafari 2017,10.1007/s12550-017-0283-0,Geographic distribution of phylogenetic species of the Fusarium graminearum species complex and their 8-ketotrichothecene chemotypes on wheat spikes in Iran,Abedi-Tizaki M,Zafari D,,,,,,,,,,,,,Mycotoxin Research,33,3,245â€“59,2017,Iran,,,,,,446,274,,,172,,,,,20,14,240,,,,,,,172,,,,,,,,,,Iran,,Wheat,,,,genotype
42,No,Alvarez et al. 2011,10.3390/toxins3101294,Genetic diversity in Fusarium graminearum from a major wheat-producing region of Argentina,Alvarez CL,Somma S,Proctor RH,Stea G,MulÃ¨ G,Logrieco AF,Pinto VF,Moretti A,,,,,,,Toxins,3,10,1294â€“1309,2011,Argentina,Italy,United States,,,,183,,,,183,,,,,,,,,,,,,,,,,,,,,,,,Argentina,,Wheat,,,,only species identification and genetic diversity
43,No,Boutigny et al. 2011b,10.4454/jpp.v93i2.1186,Head blight of barley in South Africa is caused by Fusarium graminearum with a 15-ADON chemotype,Boutigny A-L,Beukes I,Viljoen A,,,,,,,,,,,,Journal of Plant Pathology,93,2,321â€“329,2011,South Africa,,,,,,314,,20,,294,,,,,,,,,20,,,,1,293,,,,,,,,,,Soth Africa,,Barley,,,,genotype
44,No,Chehri & Godni 2017,10.1515/jppr-2017-0033,Detection of nivalenol and deoxynivalenol chemotypes produced by Fusarium graminearum species complex isolated from barley in Iran using specific PCR assays,Chehri K,Godini R,,,,,,,,,,,,,Journal of Plant Protection Research,57,3,237â€“242,2017,Iran,,,,,,14,4,,,10,,,,,,3,1,,,,,,1,6,,3,,,,,,,,Iran,,Barley,,,,genotype
45,No,Desjardins & Proctor 2011,10.1016/j.funbio.2010.10.002,Genetic diversity and trichothecene chemotypes of the Fusarium graminearum clade isolated from maize in Nepal and identification of a putative new lineage,Desjardins AE,Proctor RH,,,,,,,,,,,,,Fungal Biology,115,1,38â€“48,2011,United States,,,,,,251,98,6,,,139,8,,13,,,24,6,,,,,,,,,,1,84,8,,,,Nepal,,Maize,,,,genotype and chemotype
46,No,Karugia et al. 2009,10.1094/ PDIS-93-2-0170,Population structure of the Fusarium graminearum species complex from a single Japanese wheat field sampled in two consecutive years,Karugia GW,Suga H,Gale LR,Nakajima T,Tomimura K,Hyakumachi M,,,,,,,,,Plant Disease,93,2,170â€“174,2009,Japan,United States,,,,,183,179,,,4,,,,,99,,80,,,,,,4,,,,,,,,,,,Japan,,Wheat,,,,genotype
47,No,Lamprecht et al. 2011,10.1094/ PDIS-02-11-0083,Fusarium graminearum species complex associated with maize crowns and roots in the KwaZulu-Natal province of South Africa,Lamprecht SC,Tewoldemedhin YT,Botha WJ,Calitz FJ,,,,,,,,,,,Plant Disease,95,9,1153â€“1158,2011,South Africa,,,,,,33,,2,,26,5,,,,,,,,,,,,,,,,,,,,,,,South Africa,,Maize,,,,only species identification
48,No,Lee et al. 2009,10.1128/AEM.02287-08,Genetic diversity and fitness of Fusarium graminearum populations from rice in Korea,Lee J,Chang I-Y,Kim H,Yun SH,Leslie JF,Lee Y-W,,,,,,,,,Applied and Environmental Microbiology,75,10,3289â€“3295,2009,Korea,United States,,,,,2064,333,,,23,,,,1,7,,325,,,,,,5,18,,,,,,,,,,Korea,,Rice,,,,356 isolates were selected for all analyses; genotype and chemotype
49,No,Lee et al. 2012,10.1128/AEM.07043-11,Population structure of and mycotoxin production by Fusarium graminearum from maize in South Korea,Lee J,Kim H,Jeon J-J,Kim HS,Zeller KA,Carter LLA,Leslie JF,Lee Y-W,,,,,,,Applied and Environmental Microbiology,78,7,2161â€“2167,2012,Korea,United States,,,,,568,70,66,,425,7,,,1,,,69,41,,,,,425,,,,,,7,,,,,Korea,,Maize,,,,genotype and chemotype
50,No,Lee et al. 2010,10.5423/PPJ.2010.26.4.321,Population Structure of Fusarium graminearum from Maize and Rice in 2009 in Korea,Lee S-H,Lee J-K,Nam Y-J,Lee S-H,Ryu J-G,Lee T,,,,,,,,,The Plant Pathology Journal,26,4,321â€“327,2010,Korea,,,,,,324,95,,,37,,,,1,,,94,,,,,36,,,,1,,,,,,,,Korea,,Maize,Rice,,,genotype
51,No,Lee et al. 2016,10.5423/PPJ.OA.05.2016.0123,Occurrence of toxigenic Fusarium vorosii among small grain cereals in Korea,Lee T,Paek J-S,Lee KA,Lee S,Choi J-H,Ham H,Hong SK,Ryu J-G,,,,,,,The Plant Pathology Journal,32,5,407â€“413,2016,Korea,,,,,,6,,,,,,,6,,,,,,,,,,,,,,,,,,1,1,4,Korea,,Barley,Maize,Rice,,genotype and chemotype
52,No,Liu et al. 2017,10.1371/journal.pone.0174040,Fitness of three chemotypes of Fusarium graminearum species complex in major winter wheat-producing areas of China,Liu Y-y,Sun H-Y,Li W,Xia Y-l,Deng Y-y,Zhang A-x,Chen H-g,,,,,,,,Plos One,12,3,e0174040,2017,China,,,,,,60,40,,,20,,,,,20,,20,,,,,,,20,,,,,,,,,,China,,Wheat,,,,genotype and chemotype
53,No,Monds et al. 2005,10.1017/S0953756204002217,"Fusarium graminearum, F. cortaderiae and F. pseudograminearum in New Zealand: molecular phylogenetic analysis, mycotoxin chemotypes and co-existence of species",Monds RD,Cromey MG,Lauren DR,Di Menna M,Marshall J,,,,,,,,,,Mycological Research,109,4,410â€“420,2005,New Zealand,,,,,,28,,,13,15,,,,,,,,,,,13,,,6,,7,,,,,,,,New Zealand,,Maize,Wheat,,,genotype and chemotype
54,No,Ndoye et al. 2012,10.1111/j.1439-0434.2012.01944.x,Nivalenol and 15-acetyldeoxynivalenol chemotypes of Fusarium graminearum clade species are prevalent on maize throughout China,Ndoye M,Zhang J-B,Wang J-H,Gong A-D,Li H-P,Qu B,Li S-J,Liao Y-C,,,,,,,Journal of Phytopathology,160,10,519â€“524,2012,China,,,,,,620,359,,,261,,,,,3,8,348,,,,,,,261,,,,,,,,,,China,,Maize,,,,genotype
55,No,Prodi et al. 2009,10.4454/jpp.v91i3.570,Identification of deoxynivalenol and nivalenol producing chemotypes of Fusarium graminearum isolates from durum wheat in a restricted area of Northern Italy,Prodi A,Tonti S,Nipoti P,Pancaldi D,Pisi A,,,,,,,,,,Journal of Plant Pathology,91,3,727â€“731,2009,Italy,,,,,,74,,,,74,,,,,,,,,,,,,6,66,,2,,,,,,,,Italy,,Wheat,,,,genotype
56,No,Qiu et al. 2014,10.1007/s10658-014-0435-4,Molecular characterization of the Fusarium graminearum species complex in Eastern China,Qiu J,Xu J,Shi J,,,,,,,,,,,,European Journal of Plant Pathology,139,4,811â€“823,2014,China,,,,,,891,808,,,83,,,,,696,46,66,,,,,,22,61,,,,,,,,,,China,,Wheat,,,,genotype
57,No,Qu et al. 2008,10.1111/j.1365-3059.2007.01711.x,Geographic distribution and genetic diversity of Fusarium graminearum and F. asiaticum on wheat spikes throughout China,Qu B,Li HP,Zhang JB,Xu YB,Huang T,Wu AB,Zhao CS,Carter J,Nicholson P,Liao YC,,,,,Plant Pathology,57,1,15â€“24,2008,China,United Kingdom,,,,,437,345,,,92,,,,,,,,,,,,,,,,,,,,,,,,China,,Wheat,,,,only genetic diversity
58,No,Shen et al. 2012,10.1094/PDIS-11-11-0974-RE,Geographic distribution of trichothecene chemotypes of the Fusarium graminearum species complex in major winter wheat production areas of China,Shen C-M,Hu Y-C,Sun H-Y,Li W,Guo J-H,Chen H-G,,,,,,,,,Plant Disease,96,8,1172â€“1178,2012,China,,,,,,530,348,,,182,,,,,300,,48,,,,,,,182,,,,,,,,,,China,,Wheat,,,,genotype
59,No,Suzuki et al. 2010,10.1007/s10327-009-0206-9,Simultaneous identification of species and trichothecene chemotypes of Fusarium asiaticum and F. graminearum sensu stricto by multiplex PCR,Suzuki F,Koba A,Nakajima T,,,,,,,,,,,,Journal of General Plant Pathology,76,1,31â€“36,2010,Japan,,,,,,26,13,,,13,,,,,3,1,9,,,,,,6,7,,,,,,,,,,Japan,,Wheat,Rice,Barley,Bentgrass,genotype
60,No,Talas et al. 2011,10.1007/s10658-011-9785-3,Diversity in genetic structure and chemotype composition of Fusarium graminearum sensu stricto populations causing wheat head blight in individual fields in Germany,Talas F,Parzies HK,Miedaner T,,,,,,,,,,,,European Journal of Plant Pathology,131,1,39â€“48,2011,Germany,Syria,,,,,338,,,,338,,,,,,,,,,,,,23,311,,4,,,,,,,,Germany,,Wheat,,,,genotype
61,No,Tateishi et al. 2010,10.1584/jpestics.G09-67,Sensitivity of Japanese Fusarium graminearum species complex isolates to metconazole,Tateishi H,Miyake T,Mori M,Kimura R,Sakuma Y,Saishoji T,,,,,,,,,Journal of Pesticide Science,35,4,419â€“430,2010,Japan,,,,,,101,57,,,41,,,,,19,,15,,,,,,29,11,,,,,,,,,,Japan,,unknown,,,,"genotype / missing genotype data for some strains, it is given the genotype percentage by geographical region"
62,No,TÃ_th et al. 2005,10.1007/s10658-005-0296-y,Genetic variability of central European isolates of the Fusarium graminearum species complex,TÃ_th B,MesterhÃ¡zy A,HorvÃ¡th Z,BartÃ_k T,Varga M,Varga J,,,,,,,,,European Journal of Plant Pathology,113,1,35â€“45,2005,Hungary,,,,,,29,,,,29,,,,,,,,,,,,,,,,,,,,,,,,Hungary,Austria,Wheat,Maize,,,chemotype
